city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-07-02T08:00:00+05:30",pm25,56,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",co,500,28.6341,77.2005
Delhi,"2015-07-02T08:00:00+05:30",pm25,32,28.6341,77.2005
Delhi,"2015-07-02T08:00:00+05:30",pm25,49,28.5648,77.1744
Delhi,"2015-07-02T08:00:00+05:30",o3,26.3,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",o3,7.7,28.6341,77.2005
Delhi,"2015-07-02T08:00:00+05:30",pm10,110,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",no2,52.5,28.5648,77.1744
Delhi,"2015-07-02T08:00:00+05:30",so2,0.3,28.6683,77.1167
Delhi,"2015-07-02T08:00:00+05:30",co,1500,28.5648,77.1744
Delhi,"2015-07-02T08:00:00+05:30",no2,35.5,28.6341,77.2005
Delhi,"2015-07-02T08:00:00+05:30",pm10,91,28.6341,77.2005
Delhi,"2015-07-02T08:00:00+05:30",so2,6.3,28.5648,77.1744
Delhi,"2015-07-02T08:10:00+05:30",co,2000,28.6508,77.3152
Delhi,"2015-07-02T08:10:00+05:30",no2,62.8,28.6508,77.3152
Delhi,"2015-07-02T08:10:00+05:30",pm10,327,28.6508,77.3152
Delhi,"2015-07-02T08:10:00+05:30",pm25,95,28.6508,77.3152
Delhi,"2015-07-02T08:10:00+05:30",o3,72.4,28.6508,77.3152
Delhi,"2015-07-02T08:10:00+05:30",so2,10,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",so2,7.4,28.5648,77.1744
Delhi,"2015-07-02T08:40:00+05:30",pm25,56,28.6683,77.1167
Delhi,"2015-07-02T08:40:00+05:30",co,1500,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",pm25,49,28.5648,77.1744
Delhi,"2015-07-02T08:40:00+05:30",pm10,327,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",no2,49.2,28.5648,77.1744
Delhi,"2015-07-02T08:40:00+05:30",o3,28.6,28.6683,77.1167
Delhi,"2015-07-02T08:40:00+05:30",co,1600,28.5648,77.1744
Delhi,"2015-07-02T08:40:00+05:30",no2,30,28.6683,77.1167
Delhi,"2015-07-02T08:40:00+05:30",pm10,139,28.5648,77.1744
Delhi,"2015-07-02T08:40:00+05:30",no2,69.2,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",co,400,28.6341,77.2005
Delhi,"2015-07-02T08:40:00+05:30",o3,96.9,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",no2,39.8,28.6341,77.2005
Delhi,"2015-07-02T08:40:00+05:30",so2,8.1,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",pm25,32,28.6341,77.2005
Delhi,"2015-07-02T08:40:00+05:30",pm25,95,28.6508,77.3152
Delhi,"2015-07-02T08:40:00+05:30",co,800,28.6683,77.1167
Delhi,"2015-07-02T08:40:00+05:30",pm10,110,28.6683,77.1167
Delhi,"2015-07-02T08:40:00+05:30",o3,11.4,28.5648,77.1744
Delhi,"2015-07-02T09:00:00+05:30",pm10,191,28.5648,77.1744
Delhi,"2015-07-02T09:00:00+05:30",so2,0.6,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",no2,42.5,28.6341,77.2005
Delhi,"2015-07-02T09:00:00+05:30",o3,5.6,28.5648,77.1744
Delhi,"2015-07-02T09:00:00+05:30",pm10,176,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",pm25,82,28.6683,77.1167
Delhi,"2015-07-02T09:00:00+05:30",co,1700,28.5648,77.1744
